Date,Close
12/8/2022 16:00:00,7.59
12/9/2022 16:00:00,7.51
12/12/2022 16:00:00,7.43
12/13/2022 16:00:00,7.49
12/14/2022 16:00:00,7.44
12/15/2022 16:00:00,7.5
12/16/2022 16:00:00,7.41
12/19/2022 16:00:00,7.46
12/20/2022 16:00:00,7.32
12/21/2022 16:00:00,7.35
12/22/2022 16:00:00,7.39
12/23/2022 16:00:00,7.74
12/27/2022 16:00:00,7.32
12/28/2022 16:00:00,7.42
12/29/2022 16:00:00,7.42
12/30/2022 16:00:00,7.5
1/3/2023 16:00:00,7.5
1/4/2023 16:00:00,7.49
1/5/2023 16:00:00,7.5
1/6/2023 16:00:00,7.6
1/9/2023 16:00:00,7.46
1/10/2023 16:00:00,7.5
1/11/2023 16:00:00,7.5
1/12/2023 16:00:00,7.46
1/13/2023 16:00:00,7.41
1/17/2023 16:00:00,7.5
1/18/2023 16:00:00,7.6
1/19/2023 16:00:00,7.51
1/20/2023 16:00:00,7.5
1/23/2023 16:00:00,7.55
1/24/2023 16:00:00,7.6
1/25/2023 16:00:00,7.8
1/26/2023 16:00:00,7.32
1/27/2023 16:00:00,7.98
1/30/2023 16:00:00,9.41
1/31/2023 16:00:00,9.92
2/1/2023 16:00:00,10.69
2/2/2023 16:00:00,9.92
2/3/2023 16:00:00,10.38
2/6/2023 16:00:00,10.89
2/7/2023 16:00:00,10.89
2/8/2023 16:00:00,11.02
2/9/2023 16:00:00,11.82
2/10/2023 16:00:00,14.37
2/13/2023 16:00:00,11.85
2/14/2023 16:00:00,10.7
2/15/2023 16:00:00,10.35
2/16/2023 16:00:00,9.99
2/17/2023 16:00:00,9.97
2/21/2023 16:00:00,10.1
2/22/2023 16:00:00,10.24
2/23/2023 16:00:00,10.37
2/24/2023 16:00:00,10.44
2/27/2023 16:00:00,11
2/28/2023 16:00:00,11.43
3/1/2023 16:00:00,11.52
3/2/2023 16:00:00,11.7
3/3/2023 16:00:00,11.98
3/6/2023 16:00:00,11.9
3/7/2023 16:00:00,11.34
3/8/2023 16:00:00,11.06
3/9/2023 16:00:00,10
3/10/2023 16:00:00,10.77
3/13/2023 16:00:00,9.94
3/14/2023 16:00:00,10.34
3/15/2023 16:00:00,10.96
3/16/2023 16:00:00,11.31
3/17/2023 16:00:00,11.95
3/20/2023 16:00:00,12.45
3/21/2023 16:00:00,12.36
3/22/2023 16:00:00,12.27
3/23/2023 16:00:00,12.14
3/24/2023 16:00:00,11.76
3/27/2023 16:00:00,11.98
3/28/2023 16:00:00,12
3/29/2023 16:00:00,11.75
3/30/2023 16:00:00,12.43
3/31/2023 16:00:00,13.11
4/3/2023 16:00:00,13.18
4/4/2023 16:00:00,13.39
4/5/2023 16:00:00,12.62
4/6/2023 16:00:00,13
4/10/2023 16:00:00,12.85
4/11/2023 16:00:00,14.08
4/12/2023 16:00:00,14.5
4/13/2023 16:00:00,14.85
4/14/2023 16:00:00,14.74
4/17/2023 16:00:00,14.55
4/18/2023 16:00:00,14.66
4/19/2023 16:00:00,14.63
4/20/2023 16:00:00,13.85
4/21/2023 16:00:00,13.88
4/24/2023 16:00:00,14.34
4/25/2023 16:00:00,14.6
4/26/2023 16:00:00,14.84
4/27/2023 16:00:00,14.83
4/28/2023 16:00:00,14.8
5/1/2023 16:00:00,15.18
5/2/2023 16:00:00,14.41
5/3/2023 16:00:00,14.33
5/4/2023 16:00:00,14.89
5/5/2023 16:00:00,15.05
5/8/2023 16:00:00,15.1
5/9/2023 16:00:00,15.08
5/10/2023 16:00:00,15.13
5/11/2023 16:00:00,15.25
5/12/2023 16:00:00,15.98
5/15/2023 16:00:00,16.97
5/16/2023 16:00:00,16.9
5/17/2023 16:00:00,17
5/18/2023 16:00:00,16.85
5/19/2023 16:00:00,16.99
5/22/2023 16:00:00,16.77
5/23/2023 16:00:00,17
5/24/2023 16:00:00,17.25
5/25/2023 16:00:00,17.12
5/26/2023 16:00:00,17.55
5/30/2023 16:00:00,17.21
5/31/2023 16:00:00,17.5
6/1/2023 16:00:00,17.54
6/2/2023 16:00:00,17.58
6/5/2023 16:00:00,17.46
6/6/2023 16:00:00,17.18
6/7/2023 16:00:00,17.58
6/8/2023 16:00:00,17.53
6/9/2023 16:00:00,17.82
6/12/2023 16:00:00,18.07
6/13/2023 16:00:00,18.4
6/14/2023 16:00:00,18.21
6/15/2023 16:00:00,18.2
6/16/2023 16:00:00,18.1
6/20/2023 16:00:00,18
6/21/2023 16:00:00,17.74
6/22/2023 16:00:00,17.73
6/23/2023 16:00:00,16.95
6/26/2023 16:00:00,16.45
6/27/2023 16:00:00,16.63
6/28/2023 16:00:00,16.46
6/29/2023 16:00:00,16.34
6/30/2023 16:00:00,15.97
7/3/2023 13:05:00,16.29
7/5/2023 16:00:00,15.8
7/6/2023 16:00:00,15.18
7/7/2023 16:00:00,15.24
7/10/2023 16:00:00,16.15
7/11/2023 16:00:00,15.35
7/12/2023 16:00:00,15.07
7/13/2023 16:00:00,15.24
7/14/2023 16:00:00,14.97
7/17/2023 16:00:00,15.26
7/18/2023 16:00:00,14.72
7/19/2023 16:00:00,14.49
7/20/2023 16:00:00,14.28
7/21/2023 16:00:00,15.02
7/24/2023 16:00:00,14.55
7/25/2023 16:00:00,14.45
7/26/2023 16:00:00,13.86
7/27/2023 16:00:00,14.07
7/28/2023 16:00:00,13.84
7/31/2023 16:00:00,14.05
8/1/2023 16:00:00,13.77
8/2/2023 16:00:00,14.79
8/3/2023 16:00:00,14.5
8/4/2023 16:00:00,14.5
8/7/2023 16:00:00,14.57
8/8/2023 16:00:00,14.8
8/9/2023 16:00:00,14.94
8/10/2023 16:00:00,15
8/11/2023 16:00:00,15.31
8/14/2023 16:00:00,14.96
8/15/2023 16:00:00,14.17
8/16/2023 16:00:00,14.27
8/17/2023 16:00:00,14.51
8/18/2023 16:00:00,14.93
8/21/2023 16:00:00,14.92
8/22/2023 16:00:00,14.76
8/23/2023 16:00:00,14.44
8/24/2023 16:00:00,14.48
8/25/2023 16:00:00,14.35
8/28/2023 16:00:00,13.71
8/29/2023 16:00:00,14.53
8/30/2023 16:00:00,14.63
8/31/2023 16:00:00,14.31
9/1/2023 16:00:00,14.8
9/5/2023 16:00:00,14.09
9/6/2023 16:00:00,14.13
9/7/2023 16:00:00,14.46
9/8/2023 16:00:00,13.77
9/11/2023 16:00:00,13.71
9/12/2023 16:00:00,14.01
9/13/2023 16:00:00,13.91
9/14/2023 16:00:00,14.02
9/15/2023 16:00:00,14.58
9/18/2023 16:00:00,14.5
9/19/2023 16:00:00,14.24
9/20/2023 16:00:00,13.66
9/21/2023 16:00:00,13.68
9/22/2023 16:00:00,13.94
9/25/2023 16:00:00,13.72
9/26/2023 16:00:00,13.68
9/27/2023 16:00:00,14.04
9/28/2023 16:00:00,13.8
9/29/2023 16:00:00,12.89
10/2/2023 16:00:00,11.78
10/3/2023 16:00:00,11.14
10/4/2023 16:00:00,11
10/5/2023 16:00:00,10.87
10/6/2023 16:00:00,11.3
10/9/2023 16:00:00,10.9
10/10/2023 16:00:00,10.75
10/11/2023 16:00:00,10.28
10/12/2023 16:00:00,9.57
10/13/2023 16:00:00,9.26
10/16/2023 16:00:00,10.73
10/17/2023 16:00:00,9.53
10/18/2023 16:00:00,9.38
10/19/2023 16:00:00,9.07
10/20/2023 16:00:00,9.19
10/23/2023 16:00:00,9
10/24/2023 16:00:00,9.03
10/25/2023 16:00:00,8.96
10/26/2023 16:00:00,8.89
10/27/2023 16:00:00,8.44
10/30/2023 16:00:00,8.37
10/31/2023 16:00:00,8.95
11/1/2023 16:00:00,9.19
11/2/2023 16:00:00,9.46
11/3/2023 16:00:00,9.56
11/6/2023 16:00:00,9.23
11/7/2023 16:00:00,8.94
11/8/2023 16:00:00,8.24
11/9/2023 16:00:00,8.23
11/10/2023 16:00:00,8.06
11/13/2023 16:00:00,8.35
11/14/2023 16:00:00,8.43
11/15/2023 16:00:00,8.2
11/16/2023 16:00:00,8.2
11/17/2023 16:00:00,8.2
11/20/2023 16:00:00,8.29
11/21/2023 16:00:00,8.12
11/22/2023 16:00:00,8.18
11/24/2023 13:05:00,8.2
11/27/2023 16:00:00,7.85
11/28/2023 16:00:00,8.25
11/29/2023 16:00:00,8.12
11/30/2023 16:00:00,8.5
12/1/2023 16:00:00,8.41
12/4/2023 16:00:00,8.38
12/5/2023 16:00:00,8.41
12/6/2023 16:00:00,8.41
12/7/2023 16:00:00,8.44
#N/A,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
#N/A,